review_profilename,user_encoded
oline73,15412
Reidrover,5943
alpinebryant,8110
LordAdmNelson,4497
augustgarage,8342
fodeeoz,11474
MadeInOregon,4633
rawthar,16090
Halcyondays,3163
jdhilt,12719
UCLABrewN84,7423
zaphodchak,18768
Tilley4,7239
mikedrinksbeer2,14554
dbmernin83,10463
titosupertramp,17897
optimator13,15456
Blakaeris,1087
bashiba,8483
Klym,4241
flexabull,11445
xXTequila,18625
Bung,1431
oberon,15353
t420o,17525
DarthKostrizer,2098
MrVonzipper,5060
Beerandraiderfan,847
TheWhiskerReview,7178
Elimination,2515
Jason,3776
Brent,1249
DoubleJ,2299
Deuane,2182
micromaniac129,14524
beagle75,8549
northyorksammy,15276
vette2006c5r,18284
EvanEngelstad,2589
djeucalyptus,10695
ccrida,9677
cooch69,10052
DogFood11,2254
brewandbbq,9260
Fatehunter,2661
hopsbreath,12225
Slatetank,6555
Proteus93,5752
SShelly,6223
zoso1967,18815
msubulldog25,14920
NJpadreFan,5140
vacax,18245
d0ggnate,10270
Cyberkedi,1937
babyhobbes,8395
mdagnew,14371
mikesgroove,14578
hdofu,12050
argock,8259
Seanibus,6362
GratefulBeerGuy,3037
MuenchenerKindl,5087
PDXHops,5452
IMincedTheKing,3486
Goliath,2998
zeff80,18785
akorsak,8019
wchesak,18414
beer2day,8589
bfields4,8824
dyan,11026
Monkeyknife,4971
HopDerek,3347
mtrentm,14934
maximum12,14293
blackie,9011
JayQue,3790
bbothen,8514
Kegatron,4146
CrellMoset,1882
beerman21,8690
joepais,13041
BeerSox,828
hopdog,12183
gford217,11694
thehand,17757
GbVDave,2901
dfitch81,10603
RJLarse,5816
Beejay,721
SurlyDuff,6845
Wetpaperbag,7652
largadeer,13769
cswhitehorse,10197
elniko,11168
deltatauhobbit,10558
woemad,18560
czechsaaz,10266
Wasatch,7612
Urbancaver,7476
brentk56,9252
BeerZack,844
russpowell,16463
Spikester,6665
Dubbercody,2385
ChainGangGuy,1636
Vancer,7496
ghostwalker,11713
udubdawg,18177
Bfarr,950
cburian,9663
mnwags,14746
NeroFiddled,5201
IntriqKen,3591
JoshD,4003
lackenhauser,13735
kgotcher,13520
MLegendre,4587
freed,11521
ddarden,10494
ElGordo,2504
BuckeyeNation,1400
BeerLover99,788
syrupjoe,17520
BrewerB,1286
robwestcott,16341
vande,18254
ColForbinBC,1796
harrymel,12025
woosterbill,18578
ReelBigwigFish,5939
cbarrett4,9640
chodinheaven,9844
tempest,17646
witster18,18542
jeff1973,12749
Duff27,2393
Phelps,5593
mgbickel,14475
Jimmys,3898
Scotchboy,6334
TheGordianKnot,7095
loren01,13969
rootbeerman,16383
corby112,10070
inlimbo77,12428
youradhere,18729
Thorpe429,7214
FosterJM,2762
bobhits,9113
u2carew,18156
beerman207,8689
hawks10,12034
BEERchitect,539
climax,9970
AEK,155
wcudwight,18420
kzoobrew,13732
dudemuskie,10975
elgiacomo,11154
ArrogantB,448
stephens101,17319
StaveHooks,6713
GarrettMD,2879
barleywinefiend,8464
merlin48,14445
jampics2,12576
cjever19,9914
ThreeWiseMen,7222
philbertk,15718
Bubba83,1390
BeerAdvocate,728
mikereaser,14573
jkrich,12923
SpdKilz,6651
indiapaleale,12411
Cresant,1883
Bitterbill,1065
hosehead83,12240
kshankar,13681
bump8628,9464
WesWes,7645
beertunes,8735
ClockworkOrange,1777
organicbrewer,15479
onix1agr,15447
dedrinker,10536
woodychandler,18575
therica,17793
rfgetz,16196
JohnGalt1,3945
womencantsail,18571
ckeegan04,9927
WeisGuy,7635
Rmassimiano,6026
droomyster,10911
flagmantho,11436
snaotheus,17095
RoyalT,6102
philbe311,15716
CaptainIPA,1569
anchordrinker,8158
spointon,17214
slaintemhor,16997
Gavage,2898
Thrasher,7217
RedDiamond,5917
BilbosNuts,1033
n2185,15028
Knapp85,4243
mjyoung,14688
phichifiji00,15713
pitasoup,15784
match1112,14226
Siggy125,6483
sgsmfdoom,16792
Nashvillain,5169
CHILLINDYLAN,1487
emmasdad,11186
Bendurgin,920
GarthDanielson,2882
Akfan,276
chumba526,9889
Xul,7758
Docer,2246
rand,16052
Arbitrator,419
coldriver,10026
GradyS1,3024
meatyard,14404
Mora2000,4989
GRG1313,2855
DeanMoriarty,2143
Derek,2173
suncrust,17447
dc55110,10471
julian,13288
tdm168,17614
oglmcdgl,15379
kitty66,13568
Valevapor,7492
lowendfrequency,13988
Vdubb86,7505
TMoney2591,6914
vkv822,18323
GreenWBush,3056
bitterthebetter,8979
mcallister,14326
Crotor,1902
unklesyd,18218
isualum12,12492
IronLover,3615
kevinmkirk,13502
notchucknorris,15287
jmarsh123,12958
BDTyre,534
hippityhops85,12122
Rutager,6137
grover37,11913
bagpiper2005,8417
LukeD23,4535
PhageLab,5585
lnashsig,13935
mindlucent2007,14602
AlCaponeJunior,277
Jayli,3798
LilBeerDoctor,4436
clayrock81,9946
lstokes,13998
kylejohnson03,13726
csiewert,10190
beerphan,8709
JTahoe,3716
JoEBoBpr,3912
OWSLEY069,5330
TheManiacalOne,7126
awalk1227,8364
BuckyFresh,1407
SamuelJackson45,6273
djbreezy,10690
JoeyBeerBelly,3932
xnicknj,18649
crossovert,10169
Beerenauslese,857
htomsirveaux,12260
BrewsB4Shrews,1309
cvaypai,10234
cbak999,9637
pigdog,15760
irishgurl4,12457
charmcityboh,9764
seedsofchaos,16745
Ryan011235,6143
samie85,16540
thecarster1,17730
leedorham,13821
Jredner,4021
JohnQVegas,3954
sliverX,17025
bridgetowhophead,9345
TheHungryHiker,7102
nc41,15081
btorsdog,9429
jzeilinger,13344
BlackHaddock,1077
gatornation,11624
squaremile,17233
thagr81us,17689
brauseboof,9234
BigMike,1006
trevorjn06,18040
WYVYRN527,7589
kiddynamite920,13536
olmatty,15415
scottyshades,16684
Freethyhops,2786
wolfinthemirror,18565
ktrillionaire,13693
oregonskibum,15473
thain709,17691
kkipple,13584
gatorbreath,11619
branimal9,9229
cdizinno,9683
MacQ32,4621
beerdedking,8625
Finatic,2691
vicsju1991,18293
dbossman,10467
HOPPYKC,3145
TheFightfan1,7089
drewba,10871
IPAguy2009,3498
AlexJ,311
avalon07,8356
jpro,13181
mdcrouser,14378
kylehayworth,13725
Kadonny,4101
RomaniIteDomum,6073
armock,8273
biggred1,8903
ShadesOfGray,6406
jlindros,12940
Casey10,1595
callmemickey,9553
hoppyhobby,12217
Philabeerphia,5598
iasanlee,12326
MURF0320,4608
SpeedwayJim,6655
raverjames,16084
Lunch,4541
bamadog,8438
jwc215,13320
Gyle41386,3134
ShogoKawada,6453
alleykatking,8096
berebrando,8799
Overlord,5431
RedBrewer83,5915
slayer3604,17009
jctribe25,12698
hooliganlife,12175
DrDogbeer,2315
kels,13460
callmescraps,9555
Primitivechef,5735
BevMoAndrew,947
mugglesandhops,14951
Finn,2695
drabmuh,10848
Schmaltzy,6308
nickd717,15173
glid02,11744
mikey711,14583
wmthorne,18553
mbunje,14320
Genghis22,2912
hckyfn9999,12047
HalfFull,3165
Imstillthegman,3562
qchic,15986
mjl21,14664
madtappers,14077
cerveza5150,9707
beerswamie,8725
Metalmonk,4844
webbcreative,18425
Tdizzle,6978
velosuds,18275
jackorain,12525
BeerBelcher,740
tronester,18061
macktbone,14050
washburnkid,18392
jfitzy78,12819
skrib09,16980
mcsquint,14368
jtd1969,13256
erikm25,11229
Rhettroactive,5977
HosP,3435
comfortablynumb1,10042
Teleweizen2,6995
zoolzoo,18812
bosox941827,9174
doopydoogle,10800
wedge,18428
Risser09,6015
errantnight,11238
wnh,18555
dukew456,10984
sholland119,16863
HairOfTh3Dog,3161
dirtylou,10668
naterock,15063
SpecialK088,6653
jdense,12715
dakid618,10298
Kraken,4264
Tone,7292
gabeerfan,11584
pinotboy007,15773
jdoncbus,12729
Jimbo87,3886
tpd975,17997
aforbes10,7956
timtim,17884
Chelsea1905,1679
MisterClean,4937
ThirstyHopHead,7206
Gueuzedude,3108
pjwilson,15798
koopa,13639
DIM,1963
AKBelgianBeast,168
beereality,8634
mnapier,14735
MiguelMandingo,4881
JDV,3661
cjgator3,9915
kirok1999,13567
libertygrails,13873
seaoflament,16737
PhxHorn,5626
WVbeergeek,7586
unclederby,18200
Floydster,2735
Bierguy5,969
blakesell,9024
weeare138,18431
genog,11666
franksnbeans,11513
bootylicious,9166
Redrover,5931
BerkeleyBeerMan,931
9InchNails,133
kingjames1,13556
Hopfenpeter,3389
Tucquan,7383
Ummagum,7449
peabody,15645
dcloeren,10482
KMcG,4090
unionturf,18213
LSUPT,4322
sendsilk,16756
NStLincoln,5147
Alieniloquium,322
HopDiggityDawg,3349
CuttDeez,1932
